Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260704_015559_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode:   1/5000 | Episode reward:  1113.94 | Episode steps: 1973 | Average reward:  1113.94 | Step Count: 1973 | Episode Q0:    28.33
Episode:  74/5000 | Episode reward:  1324.50 | Episode steps: 2500 | Average reward:   331.26 | Step Count: 126246 | Episode Q0:    51.79
Episode:  75/5000 | Episode reward:   992.46 | Episode steps: 2500 | Average reward:   425.31 | Step Count: 128746 | Episode Q0:    51.79
Episode:  76/5000 | Episode reward:  1083.23 | Episode steps: 2500 | Average reward:   528.23 | Step Count: 131246 | Episode Q0:    51.79
Episode:  77/5000 | Episode reward:  1169.44 | Episode steps: 2041 | Average reward:   642.81 | Step Count: 133287 | Episode Q0:    51.79
Episode:  78/5000 | Episode reward:   815.64 | Episode steps: 2500 | Average reward:   721.75 | Step Count: 135787 | Episode Q0:    51.79
Episode:  79/5000 | Episode reward:   526.13 | Episode steps: 1850 | Average reward:   751.36 | Step Count: 137637 | Episode Q0:    51.79
Episode:  80/5000 | Episode reward:  1087.63 | Episode steps: 2500 | Average reward:   841.16 | Step Count: 140137 | Episode Q0:    51.79
Episode:  81/5000 | Episode reward:   795.72 | Episode steps: 1326 | Average reward:   904.87 | Step Count: 141463 | Episode Q0:    51.79
Episode:  82/5000 | Episode reward:  1402.61 | Episode steps: 2500 | Average reward:  1031.99 | Step Count: 143963 | Episode Q0:    51.79
Episode:  83/5000 | Episode reward:   831.01 | Episode steps: 2500 | Average reward:  1002.84 | Step Count: 146463 | Episode Q0:    51.79
Episode:  84/5000 | Episode reward:  1228.44 | Episode steps: 2500 | Average reward:   993.23 | Step Count: 148963 | Episode Q0:    51.79
Episode:  85/5000 | Episode reward:   529.76 | Episode steps: 1821 | Average reward:   946.96 | Step Count: 150784 | Episode Q0:    51.79
Episode:  86/5000 | Episode reward:  1015.03 | Episode steps: 2500 | Average reward:   940.14 | Step Count: 153284 | Episode Q0:    51.79
Episode:  87/5000 | Episode reward:   347.14 | Episode steps: 1343 | Average reward:   857.91 | Step Count: 154627 | Episode Q0:    51.79
Episode:  88/5000 | Episode reward:   918.99 | Episode steps: 2500 | Average reward:   868.25 | Step Count: 157127 | Episode Q0:    51.79
Episode:  89/5000 | Episode reward:   786.48 | Episode steps: 2500 | Average reward:   894.28 | Step Count: 159627 | Episode Q0:    51.79
Episode:  90/5000 | Episode reward:   778.30 | Episode steps: 2287 | Average reward:   863.35 | Step Count: 161914 | Episode Q0:    51.79
Episode:  91/5000 | Episode reward:   746.34 | Episode steps: 2500 | Average reward:   858.41 | Step Count: 164414 | Episode Q0:    51.79
Episode:  92/5000 | Episode reward:   605.23 | Episode steps: 2369 | Average reward:   778.67 | Step Count: 166783 | Episode Q0:    51.79
Episode:  93/5000 | Episode reward:   337.70 | Episode steps:  693 | Average reward:   729.34 | Step Count: 167476 | Episode Q0:    51.79
Episode:  94/5000 | Episode reward:  1028.94 | Episode steps: 2500 | Average reward:   709.39 | Step Count: 169976 | Episode Q0:    51.79
Episode:  95/5000 | Episode reward:  1512.42 | Episode steps: 2500 | Average reward:   807.66 | Step Count: 172476 | Episode Q0:    51.79
Episode:  96/5000 | Episode reward:  1008.12 | Episode steps: 2500 | Average reward:   806.97 | Step Count: 174976 | Episode Q0:    51.79
Episode:  97/5000 | Episode reward:  1052.80 | Episode steps: 2500 | Average reward:   877.53 | Step Count: 177476 | Episode Q0:    51.79
Episode:  98/5000 | Episode reward:  1300.95 | Episode steps: 2050 | Average reward:   915.73 | Step Count: 179526 | Episode Q0:    51.79
Episode:  99/5000 | Episode reward:  1098.62 | Episode steps: 2500 | Average reward:   946.94 | Step Count: 182026 | Episode Q0:    51.79
Episode: 100/5000 | Episode reward:    30.93 | Episode steps:  127 | Average reward:   872.20 | Step Count: 182153 | Episode Q0:    51.79
Episode: 101/5000 | Episode reward:   197.94 | Episode steps:  471 | Average reward:   817.36 | Step Count: 182624 | Episode Q0:    51.79
Episode: 102/5000 | Episode reward:  1601.64 | Episode steps: 2500 | Average reward:   917.01 | Step Count: 185124 | Episode Q0:    48.77
Episode: 103/5000 | Episode reward:   811.63 | Episode steps: 1371 | Average reward:   964.40 | Step Count: 186495 | Episode Q0:    48.77
Episode: 104/5000 | Episode reward:   299.85 | Episode steps:  665 | Average reward:   891.49 | Step Count: 187160 | Episode Q0:    48.77
Episode: 105/5000 | Episode reward:    70.00 | Episode steps:  110 | Average reward:   747.25 | Step Count: 187270 | Episode Q0:    48.77
Episode: 106/5000 | Episode reward:   269.87 | Episode steps:  389 | Average reward:   673.42 | Step Count: 187659 | Episode Q0:    48.77
Episode: 107/5000 | Episode reward:  1138.96 | Episode steps: 1881 | Average reward:   682.04 | Step Count: 189540 | Episode Q0:    48.77
Episode: 108/5000 | Episode reward:   649.58 | Episode steps: 2201 | Average reward:   616.90 | Step Count: 191741 | Episode Q0:    48.77
Episode: 109/5000 | Episode reward:  1603.66 | Episode steps: 2500 | Average reward:   667.41 | Step Count: 194241 | Episode Q0:    48.77
Episode: 110/5000 | Episode reward:  1088.95 | Episode steps: 1783 | Average reward:   773.21 | Step Count: 196024 | Episode Q0:    48.77
Episode: 111/5000 | Episode reward:  1415.73 | Episode steps: 2500 | Average reward:   894.99 | Step Count: 198524 | Episode Q0:    48.77
Episode: 112/5000 | Episode reward:   460.09 | Episode steps:  946 | Average reward:   780.83 | Step Count: 199470 | Episode Q0:    48.77
Episode: 113/5000 | Episode reward:   906.33 | Episode steps: 1368 | Average reward:   790.30 | Step Count: 200838 | Episode Q0:    48.77
Episode: 114/5000 | Episode reward:   445.09 | Episode steps: 1352 | Average reward:   804.83 | Step Count: 202190 | Episode Q0:    48.77
Episode: 115/5000 | Episode reward:   194.88 | Episode steps:  408 | Average reward:   817.31 | Step Count: 202598 | Episode Q0:    48.77
Episode: 116/5000 | Episode reward:   179.93 | Episode steps:  370 | Average reward:   808.32 | Step Count: 202968 | Episode Q0:    48.77
Episode: 117/5000 | Episode reward:   126.35 | Episode steps:  380 | Average reward:   707.06 | Step Count: 203348 | Episode Q0:    48.77
Episode: 118/5000 | Episode reward:   231.66 | Episode steps:  470 | Average reward:   665.27 | Step Count: 203818 | Episode Q0:    48.77
Episode: 119/5000 | Episode reward:   171.73 | Episode steps:  363 | Average reward:   522.07 | Step Count: 204181 | Episode Q0:    48.77
Episode: 120/5000 | Episode reward:   116.88 | Episode steps:  324 | Average reward:   424.87 | Step Count: 204505 | Episode Q0:    48.77
Episode: 121/5000 | Episode reward:    51.14 | Episode steps:  189 | Average reward:   288.41 | Step Count: 204694 | Episode Q0:    48.77
Episode: 122/5000 | Episode reward:    94.27 | Episode steps:  344 | Average reward:   251.83 | Step Count: 205038 | Episode Q0:    48.77
Episode: 123/5000 | Episode reward:    87.85 | Episode steps:  370 | Average reward:   169.98 | Step Count: 205408 | Episode Q0:    48.77
Episode: 124/5000 | Episode reward:    36.13 | Episode steps:  187 | Average reward:   129.08 | Step Count: 205595 | Episode Q0:    48.77
Episode: 125/5000 | Episode reward:    46.22 | Episode steps:  167 | Average reward:   114.22 | Step Count: 205762 | Episode Q0:    48.77
Episode: 126/5000 | Episode reward:   262.30 | Episode steps:  483 | Average reward:   122.45 | Step Count: 206245 | Episode Q0:    48.77
Episode: 127/5000 | Episode reward:    48.73 | Episode steps:  196 | Average reward:   114.69 | Step Count: 206441 | Episode Q0:    48.77
Episode: 128/5000 | Episode reward:    43.40 | Episode steps:  114 | Average reward:    95.87 | Step Count: 206555 | Episode Q0:    48.77
Episode: 129/5000 | Episode reward:    71.36 | Episode steps:  455 | Average reward:    85.83 | Step Count: 207010 | Episode Q0:    48.77
Episode: 130/5000 | Episode reward:    96.38 | Episode steps:  378 | Average reward:    83.78 | Step Count: 207388 | Episode Q0:    48.77
Episode: 131/5000 | Episode reward:   525.15 | Episode steps:  832 | Average reward:   131.18 | Step Count: 208220 | Episode Q0:    48.77
Episode: 132/5000 | Episode reward:    93.48 | Episode steps:  200 | Average reward:   131.10 | Step Count: 208420 | Episode Q0:    48.77
Episode: 133/5000 | Episode reward:    42.23 | Episode steps:  208 | Average reward:   126.54 | Step Count: 208628 | Episode Q0:    49.70
Episode: 134/5000 | Episode reward:   133.16 | Episode steps:  259 | Average reward:   136.24 | Step Count: 208887 | Episode Q0:    49.70
Episode: 135/5000 | Episode reward:    36.68 | Episode steps:   60 | Average reward:   135.29 | Step Count: 208947 | Episode Q0:    49.70
Episode: 136/5000 | Episode reward:    48.04 | Episode steps:   68 | Average reward:   113.86 | Step Count: 209015 | Episode Q0:    49.70
Episode: 137/5000 | Episode reward:   103.78 | Episode steps:  683 | Average reward:   119.37 | Step Count: 209698 | Episode Q0:    49.70
Episode: 138/5000 | Episode reward:    58.90 | Episode steps:  171 | Average reward:   120.92 | Step Count: 209869 | Episode Q0:    49.70
Episode: 139/5000 | Episode reward:    36.36 | Episode steps:   72 | Average reward:   117.42 | Step Count: 209941 | Episode Q0:    49.70
Episode: 140/5000 | Episode reward:    90.65 | Episode steps:  246 | Average reward:   116.84 | Step Count: 210187 | Episode Q0:    49.70
Episode: 141/5000 | Episode reward:    99.04 | Episode steps:  335 | Average reward:    74.23 | Step Count: 210522 | Episode Q0:    49.70
Episode: 142/5000 | Episode reward:   252.36 | Episode steps:  458 | Average reward:    90.12 | Step Count: 210980 | Episode Q0:    49.70
Episode: 143/5000 | Episode reward:    61.27 | Episode steps:  105 | Average reward:    92.03 | Step Count: 211085 | Episode Q0:    49.70
Episode: 144/5000 | Episode reward:   180.83 | Episode steps:  827 | Average reward:    96.79 | Step Count: 211912 | Episode Q0:    49.70
Episode: 145/5000 | Episode reward:   144.05 | Episode steps:  513 | Average reward:   107.53 | Step Count: 212425 | Episode Q0:    49.70
Episode: 146/5000 | Episode reward:   464.47 | Episode steps:  759 | Average reward:   149.17 | Step Count: 213184 | Episode Q0:    49.70
Episode: 147/5000 | Episode reward:    40.64 | Episode steps:   91 | Average reward:   142.86 | Step Count: 213275 | Episode Q0:    49.70
Episode: 148/5000 | Episode reward:    47.57 | Episode steps:  119 | Average reward:   141.72 | Step Count: 213394 | Episode Q0:    49.70
Episode: 149/5000 | Episode reward:    27.92 | Episode steps:  126 | Average reward:   140.88 | Step Count: 213520 | Episode Q0:    49.70
Episode: 150/5000 | Episode reward:    43.24 | Episode steps:  112 | Average reward:   136.14 | Step Count: 213632 | Episode Q0:    49.70
Episode: 151/5000 | Episode reward:    71.68 | Episode steps:  230 | Average reward:   133.40 | Step Count: 213862 | Episode Q0:    49.70
Episode: 152/5000 | Episode reward:    56.88 | Episode steps:  115 | Average reward:   113.85 | Step Count: 213977 | Episode Q0:    49.70
Episode: 153/5000 | Episode reward:    33.24 | Episode steps:  103 | Average reward:   111.05 | Step Count: 214080 | Episode Q0:    49.70
Episode: 154/5000 | Episode reward:   104.39 | Episode steps:  315 | Average reward:   103.41 | Step Count: 214395 | Episode Q0:    49.70
Episode: 155/5000 | Episode reward:    65.34 | Episode steps:  105 | Average reward:    95.54 | Step Count: 214500 | Episode Q0:    49.70
Episode: 156/5000 | Episode reward:    28.04 | Episode steps:  138 | Average reward:    51.89 | Step Count: 214638 | Episode Q0:    49.70
Episode: 157/5000 | Episode reward:    77.18 | Episode steps:  100 | Average reward:    55.55 | Step Count: 214738 | Episode Q0:    49.70
Episode: 158/5000 | Episode reward:   202.79 | Episode steps:  358 | Average reward:    71.07 | Step Count: 215096 | Episode Q0:    49.70
Episode: 159/5000 | Episode reward:    31.20 | Episode steps:  128 | Average reward:    71.40 | Step Count: 215224 | Episode Q0:    49.70
Episode: 160/5000 | Episode reward:    77.04 | Episode steps:  161 | Average reward:    74.78 | Step Count: 215385 | Episode Q0:    49.70
Episode: 161/5000 | Episode reward:    92.92 | Episode steps:  139 | Average reward:    76.90 | Step Count: 215524 | Episode Q0:    49.70
Episode: 162/5000 | Episode reward:   458.30 | Episode steps:  627 | Average reward:   117.04 | Step Count: 216151 | Episode Q0:    49.70
Episode: 163/5000 | Episode reward:    77.73 | Episode steps:  120 | Average reward:   121.49 | Step Count: 216271 | Episode Q0:    49.70
Episode: 164/5000 | Episode reward:    67.27 | Episode steps:   97 | Average reward:   117.78 | Step Count: 216368 | Episode Q0:    49.70
Episode: 165/5000 | Episode reward:    37.86 | Episode steps:  105 | Average reward:   115.03 | Step Count: 216473 | Episode Q0:    49.70
Episode: 166/5000 | Episode reward:   664.93 | Episode steps:  967 | Average reward:   178.72 | Step Count: 217440 | Episode Q0:    49.70
Episode: 167/5000 | Episode reward:    36.30 | Episode steps:   85 | Average reward:   174.63 | Step Count: 217525 | Episode Q0:    49.84
Episode: 168/5000 | Episode reward:    30.19 | Episode steps:  172 | Average reward:   157.37 | Step Count: 217697 | Episode Q0:    49.84
Episode: 169/5000 | Episode reward:    38.24 | Episode steps:   59 | Average reward:   158.08 | Step Count: 217756 | Episode Q0:    49.84
Episode: 170/5000 | Episode reward:    52.77 | Episode steps:  109 | Average reward:   155.65 | Step Count: 217865 | Episode Q0:    49.84
Episode: 171/5000 | Episode reward:   245.98 | Episode steps:  424 | Average reward:   170.96 | Step Count: 218289 | Episode Q0:    49.84
Episode: 172/5000 | Episode reward:   161.00 | Episode steps:  836 | Average reward:   141.23 | Step Count: 219125 | Episode Q0:    49.84
Episode: 173/5000 | Episode reward:    58.89 | Episode steps:  101 | Average reward:   139.34 | Step Count: 219226 | Episode Q0:    49.84
Episode: 174/5000 | Episode reward:    40.27 | Episode steps:   83 | Average reward:   136.64 | Step Count: 219309 | Episode Q0:    49.84
Episode: 175/5000 | Episode reward:    46.20 | Episode steps:   91 | Average reward:   137.48 | Step Count: 219400 | Episode Q0:    49.84
Episode: 176/5000 | Episode reward:    57.43 | Episode steps:  109 | Average reward:    76.73 | Step Count: 219509 | Episode Q0:    49.84
Episode: 177/5000 | Episode reward:    35.55 | Episode steps:   98 | Average reward:    76.65 | Step Count: 219607 | Episode Q0:    49.84
Episode: 178/5000 | Episode reward:   269.07 | Episode steps:  586 | Average reward:   100.54 | Step Count: 220193 | Episode Q0:    49.84
Episode: 179/5000 | Episode reward:    34.84 | Episode steps:   93 | Average reward:   100.20 | Step Count: 220286 | Episode Q0:    49.84
Episode: 180/5000 | Episode reward:    71.01 | Episode steps:  228 | Average reward:   102.02 | Step Count: 220514 | Episode Q0:    49.84
Episode: 181/5000 | Episode reward:   104.81 | Episode steps:  146 | Average reward:    87.91 | Step Count: 220660 | Episode Q0:    49.84
Episode: 182/5000 | Episode reward:   118.80 | Episode steps:  288 | Average reward:    83.69 | Step Count: 220948 | Episode Q0:    49.84
Episode: 183/5000 | Episode reward:   384.36 | Episode steps:  533 | Average reward:   116.23 | Step Count: 221481 | Episode Q0:    49.84
Episode: 184/5000 | Episode reward:   159.11 | Episode steps:  339 | Average reward:   128.12 | Step Count: 221820 | Episode Q0:    49.84
Episode: 185/5000 | Episode reward:    59.15 | Episode steps:   85 | Average reward:   129.41 | Step Count: 221905 | Episode Q0:    49.84
Episode: 186/5000 | Episode reward:    54.47 | Episode steps:  148 | Average reward:   129.11 | Step Count: 222053 | Episode Q0:    49.84
Episode: 187/5000 | Episode reward:   435.24 | Episode steps:  695 | Average reward:   169.08 | Step Count: 222748 | Episode Q0:    49.84
Episode: 188/5000 | Episode reward:   147.98 | Episode steps:  331 | Average reward:   156.98 | Step Count: 223079 | Episode Q0:    49.84
Episode: 189/5000 | Episode reward:    92.19 | Episode steps:  128 | Average reward:   162.71 | Step Count: 223207 | Episode Q0:    49.84
Episode: 190/5000 | Episode reward:   167.70 | Episode steps:  221 | Average reward:   172.38 | Step Count: 223428 | Episode Q0:    49.84
Episode: 191/5000 | Episode reward:    55.54 | Episode steps:  129 | Average reward:   167.45 | Step Count: 223557 | Episode Q0:    49.84
Episode: 192/5000 | Episode reward:   108.56 | Episode steps:  700 | Average reward:   166.43 | Step Count: 224257 | Episode Q0:    49.84
Episode: 193/5000 | Episode reward:  1800.14 | Episode steps: 2500 | Average reward:   308.01 | Step Count: 226757 | Episode Q0:    50.56
Episode: 194/5000 | Episode reward:   287.46 | Episode steps: 1547 | Average reward:   320.84 | Step Count: 228304 | Episode Q0:    50.56
Episode: 195/5000 | Episode reward:   742.90 | Episode steps:  980 | Average reward:   389.22 | Step Count: 229284 | Episode Q0:    50.56
Episode: 196/5000 | Episode reward:  1706.40 | Episode steps: 2242 | Average reward:   554.41 | Step Count: 231526 | Episode Q0:    50.56
Episode: 197/5000 | Episode reward:   124.35 | Episode steps:  316 | Average reward:   523.32 | Step Count: 231842 | Episode Q0:    50.56
Episode: 198/5000 | Episode reward:   131.43 | Episode steps:  318 | Average reward:   521.67 | Step Count: 232160 | Episode Q0:    50.56
Episode: 199/5000 | Episode reward:   876.55 | Episode steps: 1173 | Average reward:   600.10 | Step Count: 233333 | Episode Q0:    50.56
Episode: 200/5000 | Episode reward:    42.57 | Episode steps:  100 | Average reward:   587.59 | Step Count: 233433 | Episode Q0:    50.56
Episode: 201/5000 | Episode reward:   186.25 | Episode steps: 1271 | Average reward:   600.66 | Step Count: 234704 | Episode Q0:    50.56
Episode: 202/5000 | Episode reward:    50.71 | Episode steps:   93 | Average reward:   594.88 | Step Count: 234797 | Episode Q0:    50.56
Episode: 203/5000 | Episode reward:   108.74 | Episode steps:  277 | Average reward:   425.74 | Step Count: 235074 | Episode Q0:    50.56
Episode: 204/5000 | Episode reward:   453.47 | Episode steps:  699 | Average reward:   442.34 | Step Count: 235773 | Episode Q0:    50.56
Episode: 205/5000 | Episode reward:    32.74 | Episode steps:   99 | Average reward:   371.32 | Step Count: 235872 | Episode Q0:    50.56
